Pair,Name,Market,Config,Sharpe,Sortino,Calmar,Ann_Ret%,Tot_Ret%,MaxDD%,WinRate%,Trades,HalfLife,NetPnL,Currency
8306.T/8316.T,MUFG / SMFG (Mega Banks),JAPAN,baseline,-0.1128,-0.1607,0.0183,0.05,0.14,2.69,50.0,28,2.3,14688.48,JPY
8306.T/8316.T,MUFG / SMFG (Mega Banks),JAPAN,active_30,0.5135,1.066,0.7526,2.38,7.11,3.17,57.1,35,2.3,239145.88,JPY
8306.T/8316.T,MUFG / SMFG (Mega Banks),JAPAN,active_40_e15,0.6777,1.3628,0.8777,4.13,12.51,4.71,58.8,51,2.3,421247.19,JPY
7203.T/7267.T,Toyota / Honda,JAPAN,baseline,-0.1106,-0.1355,0.004,0.01,0.04,3.58,65.5,29,5.1,7322.03,JPY
7203.T/7267.T,Toyota / Honda,JAPAN,active_30,-0.0814,-0.0972,-0.0266,-0.25,-0.74,9.52,63.2,38,5.1,-6156.04,JPY
7203.T/7267.T,Toyota / Honda,JAPAN,active_40_e15,-0.2071,-0.2451,-0.0972,-1.25,-3.59,12.83,58.7,46,5.1,-81953.02,JPY
6758.T/6501.T,Sony / Hitachi,JAPAN,baseline,0.0302,0.0422,0.0625,0.29,0.86,4.71,59.4,32,3.1,34940.4,JPY
6758.T/6501.T,Sony / Hitachi,JAPAN,active_30,0.4497,0.675,0.547,3.21,9.64,5.87,65.0,40,3.1,312187.11,JPY
6758.T/6501.T,Sony / Hitachi,JAPAN,active_40_e15,-0.1127,-0.136,-0.09,-1.51,-4.33,16.78,66.7,54,3.1,-88791.13,JPY
MS/GS,Morgan Stanley / Goldman Sachs,US,baseline,-1.1185,-1.8167,0.5821,1.73,5.25,2.96,64.0,25,1.8,1392.41,USD
MS/GS,Morgan Stanley / Goldman Sachs,US,active_30,0.0949,0.1744,0.7188,5.02,15.76,6.98,55.3,38,1.8,4192.77,USD
MS/GS,Morgan Stanley / Goldman Sachs,US,active_40_e15,-0.7291,-0.961,-0.1523,-2.35,-6.86,15.44,44.2,52,1.8,-1332.34,USD
MPC/VLO,Marathon / Valero (Refiners),US,baseline,-4.5836,-4.9437,-0.1951,-0.42,-1.26,2.17,59.4,32,4.0,-245.35,USD
MPC/VLO,Marathon / Valero (Refiners),US,active_30,-2.5612,-2.8178,-0.2776,-1.88,-5.51,6.76,52.8,36,4.0,-1218.99,USD
MPC/VLO,Marathon / Valero (Refiners),US,active_40_e15,-1.0582,-1.4672,0.0642,0.4,1.2,6.23,63.0,46,4.0,567.83,USD
COP/OXY,ConocoPhillips / Occidental,US,baseline,-4.1092,-4.9331,-0.0807,-0.19,-0.58,2.41,51.6,31,5.1,-90.58,USD
COP/OXY,ConocoPhillips / Occidental,US,active_30,-1.3602,-1.8395,0.2934,1.16,3.51,3.95,65.9,41,5.1,1021.82,USD
COP/OXY,ConocoPhillips / Occidental,US,active_40_e15,-1.3285,-1.5614,-0.0976,-1.03,-3.07,10.58,59.2,49,5.1,-534.99,USD
HD/LOW,Home Depot / Lowe's,US,baseline,-6.075,-6.4134,-0.2176,-0.52,-1.54,2.38,48.3,29,7.9,-330.24,USD
HD/LOW,Home Depot / Lowe's,US,active_30,-3.1291,-3.8029,-0.0964,-0.33,-0.98,3.39,51.4,35,7.9,-112.27,USD
HD/LOW,Home Depot / Lowe's,US,active_40_e15,-2.6837,-3.1496,-0.2108,-0.99,-2.92,4.68,54.1,37,7.9,-543.18,USD
DAL/UAL,Delta / United Airlines,US,baseline,-1.9361,-3.213,0.3239,0.67,2.03,2.08,50.0,24,13.9,567.62,USD
DAL/UAL,Delta / United Airlines,US,active_30,-0.8981,-1.3479,0.0848,0.51,1.52,5.98,48.5,33,13.9,549.76,USD
DAL/UAL,Delta / United Airlines,US,active_40_e15,0.5309,1.1904,2.0951,8.73,28.4,4.17,62.5,48,13.9,7436.51,USD
UPS/FDX,UPS / FedEx,US,baseline,-1.7236,-2.0125,-0.2745,-1.09,-3.23,3.98,55.2,29,6.6,-719.66,USD
UPS/FDX,UPS / FedEx,US,active_30,-0.0629,-0.1211,0.5833,3.78,11.72,6.48,59.4,32,6.6,3129.37,USD
UPS/FDX,UPS / FedEx,US,active_40_e15,-0.3977,-0.6282,-0.0165,-0.25,-0.75,15.19,48.6,37,6.6,93.27,USD
V/MA,Visa / Mastercard,US,baseline,-3.3645,-4.8787,1.2692,1.07,3.24,0.84,74.3,35,3.6,903.92,USD
V/MA,Visa / Mastercard,US,active_30,-0.6338,-1.011,1.2759,2.99,9.19,2.34,74.0,50,3.6,2574.21,USD
V/MA,Visa / Mastercard,US,active_40_e15,-0.7541,-1.0798,0.3858,1.88,5.72,4.87,64.8,54,3.6,1834.66,USD
REGN/VRTX,Regeneron / Vertex,US,baseline,-2.3237,-2.506,-0.3267,-1.59,-4.67,4.86,53.8,26,13.4,-1126.78,USD
REGN/VRTX,Regeneron / Vertex,US,active_30,-1.1873,-1.325,-0.3306,-3.2,-9.25,9.67,50.0,34,13.4,-2192.98,USD
REGN/VRTX,Regeneron / Vertex,US,active_40_e15,-0.5324,-0.6821,-0.1245,-1.89,-5.54,15.16,53.8,39,13.4,-1198.85,USD
TATASTEEL.NS/JSWSTEEL.NS,Tata Steel / JSW Steel,INDIA,baseline,-1.5315,-2.7751,0.5596,1.97,5.93,3.51,50.0,34,5.0,31916.96,INR
TATASTEEL.NS/JSWSTEEL.NS,Tata Steel / JSW Steel,INDIA,active_30,-0.5708,-0.9086,0.21,2.35,7.12,11.21,50.0,40,5.0,40983.79,INR
TATASTEEL.NS/JSWSTEEL.NS,Tata Steel / JSW Steel,INDIA,active_40_e15,-0.3089,-0.5171,0.3254,3.74,11.48,11.5,45.7,46,5.0,64279.6,INR
COALINDIA.NS/NTPC.NS,Coal India / NTPC,INDIA,baseline,-4.3827,-6.1736,0.7502,1.26,3.76,1.68,70.6,34,1.3,20227.84,INR
COALINDIA.NS/NTPC.NS,Coal India / NTPC,INDIA,active_30,-1.666,-2.6663,0.6725,2.22,6.7,3.3,64.1,39,1.3,36841.26,INR
COALINDIA.NS/NTPC.NS,Coal India / NTPC,INDIA,active_40_e15,-1.1788,-1.7611,0.2625,1.84,5.52,7.0,61.2,49,1.3,33178.13,INR
VEDL.NS/HINDALCO.NS,Vedanta / Hindalco,INDIA,baseline,-1.3973,-2.4156,0.6193,2.13,6.41,3.44,70.4,27,5.7,33638.71,INR
VEDL.NS/HINDALCO.NS,Vedanta / Hindalco,INDIA,active_30,0.1425,0.3117,1.215,7.52,23.82,6.19,69.4,36,5.7,123317.3,INR
VEDL.NS/HINDALCO.NS,Vedanta / Hindalco,INDIA,active_40_e15,0.8076,2.2927,2.6973,14.14,47.7,5.24,73.8,42,5.7,244648.31,INR
BANKBARODA.NS/PNB.NS,Bank of Baroda / PNB,INDIA,baseline,-4.2764,-6.6459,0.6118,0.74,2.2,1.21,50.0,28,3.9,11966.38,INR
BANKBARODA.NS/PNB.NS,Bank of Baroda / PNB,INDIA,active_30,-2.1425,-3.478,0.1961,0.54,1.6,2.77,40.0,35,3.9,10390.64,INR
BANKBARODA.NS/PNB.NS,Bank of Baroda / PNB,INDIA,active_40_e15,-1.4448,-2.225,0.0058,0.03,0.08,5.52,43.2,44,3.9,4380.16,INR
CANBK.NS/PNB.NS,Canara Bank / PNB,INDIA,baseline,-4.2979,-5.965,0.7842,0.98,2.91,1.25,63.3,30,7.0,15891.71,INR
CANBK.NS/PNB.NS,Canara Bank / PNB,INDIA,active_30,-1.4049,-2.1594,0.9243,2.38,7.19,2.58,65.8,38,7.0,39314.24,INR
CANBK.NS/PNB.NS,Canara Bank / PNB,INDIA,active_40_e15,-0.1857,-0.354,1.3859,5.6,17.47,4.04,67.4,46,7.0,92785.43,INR
BAJAJ-AUTO.NS/HEROMOTOCO.NS,Bajaj Auto / Hero MotoCorp,INDIA,baseline,-3.8804,-4.9486,0.1768,0.29,0.86,1.64,60.7,28,3.6,5234.79,INR
BAJAJ-AUTO.NS/HEROMOTOCO.NS,Bajaj Auto / Hero MotoCorp,INDIA,active_30,-1.9137,-2.41,-0.1118,-0.83,-2.42,7.39,54.3,35,3.6,-9686.1,INR
BAJAJ-AUTO.NS/HEROMOTOCO.NS,Bajaj Auto / Hero MotoCorp,INDIA,active_40_e15,-0.9211,-1.2117,0.269,1.7,5.11,6.33,62.0,50,3.6,30139.85,INR
HDFCBANK.NS/ICICIBANK.NS,HDFC Bank / ICICI Bank,INDIA,baseline,-4.0313,-4.7234,0.2177,0.57,1.68,2.61,67.9,28,8.1,9895.1,INR
HDFCBANK.NS/ICICIBANK.NS,HDFC Bank / ICICI Bank,INDIA,active_30,-1.4259,-2.1229,0.6226,2.46,7.42,3.95,69.4,36,8.1,40950.32,INR
HDFCBANK.NS/ICICIBANK.NS,HDFC Bank / ICICI Bank,INDIA,active_40_e15,-0.6926,-0.9959,0.4922,3.27,9.97,6.65,66.7,48,8.1,56664.42,INR
BPCL.NS/IOC.NS,BPCL / IOC,INDIA,baseline,-3.8901,-4.8389,0.2417,0.5,1.49,2.07,66.7,36,8.2,8720.27,INR
BPCL.NS/IOC.NS,BPCL / IOC,INDIA,active_30,-1.9055,-2.4883,0.099,0.44,1.3,4.43,58.5,41,8.2,9443.57,INR
BPCL.NS/IOC.NS,BPCL / IOC,INDIA,active_40_e15,-0.8786,-1.2264,0.4299,2.41,7.28,5.6,63.8,58,8.2,41903.24,INR
TECHM.NS/WIPRO.NS,Tech Mahindra / Wipro,INDIA,baseline,-3.1557,-5.7877,1.8282,1.64,4.92,0.9,64.5,31,9.6,25490.72,INR
TECHM.NS/WIPRO.NS,Tech Mahindra / Wipro,INDIA,active_30,-1.0788,-1.7675,0.9073,2.5,7.58,2.76,60.5,38,9.6,40018.52,INR
TECHM.NS/WIPRO.NS,Tech Mahindra / Wipro,INDIA,active_40_e15,-0.1951,-0.36,1.3039,5.34,16.6,4.09,58.7,46,9.6,86404.5,INR
BMW.DE/VOW3.DE,BMW / Volkswagen,GERMANY,baseline,-3.6809,-3.9419,-0.1742,-0.5,-1.5,2.87,52.9,34,2.4,-292.9,EUR
BMW.DE/VOW3.DE,BMW / Volkswagen,GERMANY,active_30,-2.1345,-2.3379,-0.2339,-1.24,-3.69,5.29,52.4,42,2.4,-718.01,EUR
BMW.DE/VOW3.DE,BMW / Volkswagen,GERMANY,active_40_e15,-1.9814,-2.0692,-0.316,-5.32,-15.21,16.85,52.0,50,2.4,-3480.44,EUR
AIR.PA/SAF.PA,Airbus / Safran,FRANCE,baseline,-2.1558,-2.5113,-0.2302,-0.96,-2.89,4.19,48.1,27,5.2,-649.86,EUR
AIR.PA/SAF.PA,Airbus / Safran,FRANCE,active_30,-1.1185,-1.308,-0.1935,-1.91,-5.68,9.88,55.9,34,5.2,-1234.49,EUR
AIR.PA/SAF.PA,Airbus / Safran,FRANCE,active_40_e15,-1.4172,-1.5825,-0.3062,-5.79,-16.54,18.91,47.9,48,5.2,-3788.78,EUR
