Pair,Market,Sharpe,Sortino,Calmar,Ann_Ret%,Tot_Ret%,MaxDD%,WinRate%,Trades,HalfLife,NetPnL
AXISBANK.NS/KOTAKBANK.NS,INDIA,-5.1055,-5.9152,0.1553,0.27,0.79,1.72,62.5,32,3.8,4945.53
HDFCBANK.NS/ICICIBANK.NS,INDIA,-4.0313,-4.7234,0.2177,0.57,1.68,2.61,67.9,28,8.1,9895.03
INFY.NS/TCS.NS,INDIA,-3.3144,-4.1046,-0.0307,-0.14,-0.4,4.42,54.8,31,3.9,86.54
ONGC.NS/IOC.NS,INDIA,-3.9257,-6.0084,0.2997,0.57,1.7,1.91,54.2,24,3.7,9389.63
AXISBANK.NS/SBIN.NS,INDIA,-5.5276,-6.3305,0.0587,0.11,0.33,1.93,65.5,29,1.6,2794.6
TATASTEEL.NS/JSWSTEEL.NS,INDIA,-0.9809,-1.8163,0.5578,2.61,7.91,4.68,50.0,34,5.0,42624.85
RELIANCE.NS/TCS.NS,INDIA,-1.7869,-2.1776,0.0401,0.25,0.74,6.21,65.6,32,3.1,5880.55
BAJFINANCE.NS/BAJAJFINSV.NS,INDIA,-2.3892,-3.564,0.1879,0.9,2.69,4.81,57.1,28,4.3,15310.01
COALINDIA.NS/NTPC.NS,INDIA,-4.3827,-6.1736,0.7502,1.26,3.76,1.68,70.6,34,1.3,20227.88
BPCL.NS/IOC.NS,INDIA,-3.8901,-4.8389,0.2417,0.5,1.49,2.07,66.7,36,8.2,8720.24
KO/PEP,US,-1.8981,-2.5212,-0.0226,-0.11,-0.34,4.86,47.6,21,14.3,-14.11
XOM/CVX,US,-4.7963,-4.9356,-0.3387,-1.2,-3.53,3.53,40.0,30,4.1,-808.59
MS/GS,US,-0.6303,-1.0572,0.6144,2.39,7.31,3.89,64.0,25,1.8,1935.79
V/MA,US,-3.3645,-4.8787,1.2692,1.07,3.24,0.84,74.3,35,3.6,903.94
JPM/BAC,US,-3.0508,-3.7793,0.046,0.11,0.34,2.47,59.3,27,4.2,122.12
GOOGL/META,US,-0.7875,-1.0437,-0.1042,-1.86,-5.47,17.9,43.8,16,36.5,-1305.2
7203.T/7267.T,JAPAN,-0.1106,-0.1355,0.004,0.01,0.04,3.58,65.5,29,5.1,7322.17
BMW.DE/MBG.DE,GERMANY,-2.8315,-3.0723,-0.2391,-0.99,-2.94,4.12,46.9,32,8.5,-671.56
BNP.PA/GLE.PA,FRANCE,-2.6163,-3.3411,0.0729,0.11,0.33,1.48,60.0,30,9.7,138.22
BARC.L/LLOY.L,UK,-2.9642,-3.3751,-0.1908,-0.54,-1.62,2.83,55.2,29,5.6,-289.93
SHEL.L/BP.L,UK,-3.158,-5.1005,0.165,0.34,1.01,2.04,54.2,24,6.4,225.83
D05.SI/U11.SI,SG,-2.6707,-3.7515,0.4267,0.43,1.31,1.02,59.4,32,7.0,550.18
0700.HK/9988.HK,HK,-1.7817,-2.2362,-0.2033,-0.85,-2.48,4.19,53.6,28,5.3,-4626.8
ISP.MI/UCG.MI,ITALY,-1.5456,-1.7592,-0.3206,-6.94,-19.44,21.63,25.9,27,2.6,-4743.28
